,단어명,경제 빈도수
1425,상환,27
1426,매물,27
1427,테마,27
1428,유류,27
1429,트릭,27
1430,점주,27
1431,원료,27
1432,국채,27
1433,운전,27
1434,통계,27
1435,착공,27
1436,안해,27
1437,시기,27
1438,벤처기업,27
1439,대박,27
1440,주의보,27
1441,연료,27
1442,라돈,27
1443,보험금,27
1444,화성,27
1445,나라,27
1446,믹스,27
1447,박사,27
1448,석유,27
1449,랜드,27
1450,크게,27
1451,상권,27
1452,정의선,27
1453,쿠팡,27
1454,상사,27
1455,뉴욕,27
1456,실업률,27
1457,사례,27
1458,재난,27
1459,빗썸,27
1460,주변,27
1461,면허,27
1462,주파수,27
1463,운명,27
1464,농가,27
1465,임박,26
1466,조합,26
1467,중간,26
1468,눈치,26
1469,문재인,26
1470,리니지,26
1471,에디,26
1472,배출,26
1473,극복,26
1474,인치,26
1475,계산,26
1476,간담,26
1477,라이브,26
1478,유입,26
1479,은퇴,26
1480,개편안,26
1481,세제,26
1482,항공사,26
1483,중앙,26
1484,주유소,26
1485,지표,26
1486,중고,26
1487,공업,26
1488,바게뜨,26
1489,유료,26
1490,편의,26
1491,저축,26
1492,애경,26
1493,위치,26
1494,진료,26
1495,원가,26
1496,먹거리,26
1497,종이,26
1498,방법,26
1499,예약,26
1500,항공권,26
1501,에스티,26
1502,찬성,26
1503,출장,26
1504,폭풍,26
1505,낙찰,26
1506,이노션,26
1507,자수,26
1508,통화정책,26
1509,역전,26
1510,허브,26
1511,서초,26
1512,금투,26
1513,공격,26
1514,멤버십,26
1515,전자담배,26
1516,맞이,26
1517,아우디,26
1518,챗봇,26
1519,구본무,26
1520,무산,25
1521,조달,25
1522,부지,25
1523,금액,25
1524,상임,25
1525,임상시험,25
1526,실업,25
1527,재생,25
1528,국면,25
1529,용기,25
1530,개설,25
1531,뷰티,25
1532,요인,25
1533,이동,25
1534,보완,25
1535,신탁,25
1536,화면,25
1537,실태,25
1538,세포,25
1539,환영,25
1540,옵션,25
1541,낸드,25
1542,비정규직,25
1543,고급,25
1544,전원,25
1545,양성,25
1546,옥수수,25
1547,수퍼,25
1548,글로비스,25
1549,위협,25
1550,광화문,25
1551,월급,25
1552,선출,25
1553,기초,25
1554,판단,25
1555,고속,25
1556,원금,25
1557,특수,25
1558,결함,25
1559,마이크로,25
1560,조양호,25
1561,거점,25
1562,스튜어드,25
1563,흑석,25
1564,차명계좌,25
1565,최흥,25
1566,흡수,24
1567,방향,24
1568,시도,24
1569,깜짝,24
1570,불황,24
1571,타고,24
1572,팩토리,24
1573,심화,24
1574,중고차,24
1575,전주,24
1576,공기업,24
1577,직무,24
1578,업데이트,24
1579,탈환,24
1580,엔터,24
1581,인테리어,24
1582,리테일,24
1583,맥스,24
1584,소리,24
1585,나흘,24
1586,장애인,24
1587,법적,24
1588,부당,24
1589,제주항공,24
1590,마이너스,24
1591,폐암,24
1592,체감,24
1593,안심,24
1594,한류,24
1595,전담,24
1596,냉장고,24
1597,남성,24
1598,전화,24
1599,성전,24
1600,프로,24
1601,이미지,24
1602,폴크스바겐,24
1603,일문일답,24
1604,금투협,24
1605,자원,24
1606,철도,24
1607,증설,24
1608,건립,24
1609,품목,24
1610,멕시코,24
1611,자재,24
1612,공익,24
1613,음료,24
1614,보증금,24
1615,경협주,24
1616,계열,24
1617,교섭,24
1618,해임,24
1619,이건희,24
1620,단가,23
1621,소프트웨어,23
1622,디젤,23
1623,탄력,23
1624,돋보기,23
1625,사항,23
1626,법원,23
1627,줄기세포,23
1628,패키지,23
1629,견인,23
1630,동반성,23
1631,진짜,23
1632,어워드,23
1633,당분간,23
1634,에어,23
1635,회담,23
1636,시리즈,23
1637,요건,23
1638,피스,23
1639,음악,23
1640,훈풍,23
1641,완공,23
1642,김현미,23
1643,회생,23
1644,렌터카,23
1645,알바,23
1646,수장,23
1647,촉각,23
1648,인간,23
1649,목적,23
1650,공기,23
1651,단독주택,23
1652,로템,23
1653,탈출,23
1654,보금자리,23
1655,성능,23
1656,반려동물,23
1657,싸움,23
1658,모빌리티,23
1659,방산,23
1660,정성,23
1661,지지,23
1662,시스,23
1663,항공기,23
1664,집단,23
1665,속보,23
1666,문자,23
1667,완성,23
1668,쟁점,23
1669,고려,23
1670,기내식,23
1671,박스,23
1672,지하철,23
1673,잠실,23
1674,이통,23
1675,특위,22
1676,지배,22
1677,이탈리아,22
1678,차관,22
1679,이랜드,22
1680,건조기,22
1681,긴장,22
1682,대리,22
1683,보이스피싱,22
1684,레이,22
1685,가계부채,22
1686,호실,22
1687,린다,22
1688,상하이,22
1689,경협,22
1690,터치,22
1691,눈앞,22
1692,배제,22
1693,조합원,22
1694,골든,22
1695,소개,22
1696,개미,22
1697,완전,22
1698,생각,22
1699,운반,22
1700,명절,22
1701,대결,22
1702,부정,22
1703,낙폭,22
1704,순위,22
1705,웨어,22
1706,먼저,22
1707,질병,22
1708,입장,22
1709,바다,22
1710,정용진,22
1711,면담,22
1712,전시,22
1713,퍼스트,22
1714,무제한,22
1715,필리핀,22
1716,제철,22
1717,파견,22
1718,연일,22
1719,건축,22
1720,캠프,22
1721,부위,22
1722,소외,22
1723,운동,22
1724,배정,22
1725,경남,22
1726,시즌,22
1727,청구,22
1728,위로,22
1729,직장인,22
1730,대세,22
1731,필드,22
1732,의결권,22
1733,형제,22
1734,기여,22
1735,컨설팅,22
1736,개척,22
1737,세무조사,22
1738,건전성,22
1739,제기,22
1740,조준,22
1741,유령,22
1742,제네시스,21
1743,사모펀드,21
1744,중도,21
1745,니아,21
1746,디톡스,21
1747,껑충,21
1748,온스,21
1749,제시,21
1750,금융위기,21
1751,어린이집,21
1752,경험,21
