,사설단어
792,"('연기', 5)"
793,"('세력', 5)"
794,"('사이', 5)"
795,"('이익', 5)"
796,"('급', 5)"
797,"('당신', 5)"
798,"('발견', 5)"
799,"('목구멍', 5)"
800,"('퍼시픽', 5)"
801,"('프리즘', 5)"
802,"('나선', 5)"
803,"('총', 5)"
804,"('군대', 5)"
805,"('카', 5)"
806,"('늘', 5)"
807,"('얘기', 5)"
808,"('연설', 5)"
809,"('진찰', 5)"
810,"('방어', 5)"
811,"('허물', 5)"
812,"('앱', 5)"
813,"('탄생', 5)"
814,"('줄줄이', 5)"
815,"('신화', 5)"
816,"('명문', 5)"
817,"('교황', 5)"
818,"('황제', 5)"
819,"('축복', 5)"
820,"('이전', 5)"
821,"('확산', 5)"
822,"('축제', 5)"
823,"('로고', 5)"
824,"('소리', 5)"
825,"('강조', 5)"
826,"('중국인', 5)"
827,"('세습', 5)"
828,"('냄새', 5)"
829,"('보이', 5)"
830,"('임명', 5)"
831,"('유현준', 5)"
832,"('환자', 5)"
833,"('파괴', 5)"
834,"('고민', 5)"
835,"('보도', 5)"
836,"('피', 5)"
837,"('공작', 5)"
838,"('본질', 5)"
839,"('철', 5)"
840,"('땅', 5)"
841,"('담당', 5)"
842,"('밖', 5)"
843,"('김성윤', 5)"
844,"('박정희', 5)"
845,"('권리', 5)"
846,"('점', 5)"
847,"('장기', 5)"
848,"('모델', 5)"
849,"('천일야화', 5)"
850,"('경계', 5)"
851,"('노벨상', 5)"
852,"('민주', 5)"
853,"('번지', 5)"
854,"('조인원', 5)"
855,"('몰카', 5)"
856,"('차례', 5)"
857,"('재앙', 5)"
858,"('소상', 5)"
859,"('공인', 5)"
860,"('규모', 5)"
861,"('우리말', 5)"
862,"('포커스', 5)"
863,"('연합', 5)"
864,"('영국', 5)"
865,"('너', 5)"
866,"('강행', 5)"
867,"('감옥', 5)"
868,"('마크', 5)"
869,"('박아', 5)"
870,"('플라스틱', 5)"
871,"('목숨', 5)"
872,"('김헌', 5)"
873,"('기준', 5)"
874,"('노동', 5)"
875,"('부부', 5)"
876,"('로남불', 5)"
877,"('값', 5)"
878,"('청구', 5)"
879,"('산다', 5)"
880,"('절대', 5)"
881,"('윤대현', 5)"
882,"('조선', 5)"
883,"('결혼', 5)"
884,"('한현우', 5)"
885,"('컬처', 5)"
886,"('치매', 5)"
887,"('초상화', 5)"
888,"('대륙', 5)"
889,"('인', 5)"
890,"('기록', 5)"
891,"('아버지', 5)"
892,"('업자', 5)"
893,"('책임', 5)"
894,"('관료', 5)"
895,"('상징', 5)"
896,"('옆', 5)"
897,"('기대', 5)"
898,"('성과', 5)"
899,"('결과', 5)"
900,"('왜곡', 5)"
901,"('의무', 5)"
902,"('아들', 5)"
903,"('호소', 5)"
904,"('리더', 5)"
905,"('고집', 5)"
906,"('상봉', 5)"
907,"('팬', 5)"
908,"('망', 5)"
909,"('가치', 5)"
910,"('거꾸로', 5)"
911,"('젠', 5)"
912,"('배려', 5)"
913,"('순간', 5)"
914,"('용기', 5)"
915,"('열차', 5)"
916,"('긍정', 5)"
917,"('국회의원', 5)"
918,"('몇', 5)"
919,"('빚', 5)"
920,"('대가', 5)"
921,"('행사', 5)"
922,"('연', 5)"
923,"('휴가', 5)"
924,"('사장', 5)"
925,"('박근혜', 5)"
926,"('축소', 5)"
927,"('낙하산', 5)"
928,"('왕자', 5)"
929,"('여자', 5)"
930,"('침', 5)"
931,"('교장', 5)"
932,"('꼭', 5)"
933,"('역대', 5)"
934,"('서로', 5)"
935,"('방법', 5)"
936,"('박', 5)"
937,"('인재', 5)"
938,"('공원', 5)"
939,"('남편', 5)"
940,"('집중', 5)"
941,"('흡연', 5)"
942,"('서도', 5)"
943,"('패싱', 5)"
944,"('대열', 5)"
945,"('주한', 5)"
946,"('대법관', 5)"
947,"('공항', 5)"
948,"('활용', 5)"
949,"('구조조정', 5)"
950,"('매력', 5)"
951,"('부활', 5)"
952,"('담판', 5)"
953,"('호텔', 5)"
954,"('부처', 5)"
955,"('스님', 5)"
956,"('수당', 5)"
957,"('발', 5)"
958,"('외교부', 5)"
959,"('자전거', 5)"
960,"('사드', 5)"
961,"('징역', 5)"
962,"('충격', 5)"
963,"('새해', 5)"
964,"('무능', 4)"
965,"('유튜브', 4)"
966,"('공간', 4)"
967,"('방해', 4)"
968,"('불통', 4)"
969,"('주말', 4)"
970,"('김태훈', 4)"
971,"('판결', 4)"
972,"('해고', 4)"
973,"('비난', 4)"
974,"('그냥', 4)"
975,"('시절', 4)"
976,"('구속', 4)"
977,"('임종석', 4)"
978,"('햇볕', 4)"
979,"('무덤', 4)"
980,"('로마', 4)"
981,"('제한', 4)"
982,"('직전', 4)"
983,"('유엔', 4)"
984,"('공부', 4)"
985,"('독재', 4)"
