,정치단어
706,"('지지도', 23)"
707,"('가동', 23)"
708,"('세계', 23)"
709,"('외무', 23)"
710,"('대신', 23)"
711,"('비리', 23)"
712,"('연결', 23)"
713,"('해명', 23)"
714,"('제기', 23)"
715,"('의문', 23)"
716,"('서명', 23)"
717,"('라인', 23)"
718,"('기지', 22)"
719,"('국내', 22)"
720,"('공군', 22)"
721,"('도전', 22)"
722,"('청문회', 22)"
723,"('주의', 22)"
724,"('영호', 22)"
725,"('부대', 22)"
726,"('만날', 22)"
727,"('김정숙', 22)"
728,"('핵무기', 22)"
729,"('토론', 22)"
730,"('탓', 22)"
731,"('임', 22)"
732,"('경협', 22)"
733,"('내정', 22)"
734,"('내부', 22)"
735,"('국군', 22)"
736,"('폐쇄', 22)"
737,"('성사', 22)"
738,"('업무', 22)"
739,"('박근혜', 22)"
740,"('허위', 22)"
741,"('신뢰', 22)"
742,"('평화협정', 22)"
743,"('생일', 22)"
744,"('개각', 22)"
745,"('합동', 22)"
746,"('도지사', 22)"
747,"('예비', 22)"
748,"('경북', 22)"
749,"('해임', 21)"
750,"('전원책', 21)"
751,"('협치', 21)"
752,"('경질', 21)"
753,"('판결', 21)"
754,"('시위', 21)"
755,"('도로', 21)"
756,"('정신', 21)"
757,"('유출', 21)"
758,"('연내', 21)"
759,"('실시', 21)"
760,"('축소', 21)"
761,"('은행', 21)"
762,"('워싱턴', 21)"
763,"('세월호', 21)"
764,"('범', 21)"
765,"('진보', 21)"
766,"('도부', 21)"
767,"('순방', 21)"
768,"('조건', 21)"
769,"('행위', 21)"
770,"('탈북자', 21)"
771,"('이드', 21)"
772,"('리', 21)"
773,"('갑', 21)"
774,"('역', 21)"
775,"('찬성', 21)"
776,"('압수수색', 21)"
777,"('청년', 21)"
778,"('목표', 21)"
779,"('차량', 21)"
780,"('시민단체', 21)"
781,"('관람', 21)"
782,"('민병두', 21)"
783,"('집', 21)"
784,"('친서', 21)"
785,"('통', 21)"
786,"('당권', 21)"
787,"('감축', 21)"
788,"('민심', 21)"
789,"('타고', 21)"
790,"('이동', 21)"
791,"('생중계', 21)"
792,"('기간', 21)"
793,"('진실', 21)"
794,"('억류', 21)"
795,"('선수단', 21)"
796,"('단축', 21)"
797,"('투자', 20)"
798,"('의결', 20)"
799,"('리비아', 20)"
800,"('설전', 20)"
801,"('마린', 20)"
802,"('홍', 20)"
803,"('각', 20)"
804,"('교황', 20)"
805,"('비상', 20)"
806,"('금', 20)"
807,"('발', 20)"
808,"('자리', 20)"
809,"('고려', 20)"
810,"('해상', 20)"
811,"('선거운동', 20)"
812,"('민생', 20)"
813,"('단장', 20)"
814,"('층', 20)"
815,"('거래', 20)"
816,"('분리', 20)"
817,"('원장', 20)"
818,"('충남', 20)"
819,"('하태경', 20)"
820,"('독도', 20)"
821,"('해군', 20)"
822,"('가족', 20)"
823,"('관리', 20)"
824,"('지금', 20)"
825,"('초', 20)"
826,"('검', 20)"
827,"('향', 20)"
828,"('파', 20)"
829,"('중요', 20)"
830,"('리설주', 20)"
831,"('센터', 20)"
832,"('행정관', 20)"
833,"('국회의장', 20)"
834,"('청탁', 20)"
835,"('송파', 20)"
836,"('배치', 19)"
837,"('당원', 19)"
838,"('대비', 19)"
839,"('결의', 19)"
840,"('최종', 19)"
841,"('장', 19)"
842,"('갤럽', 19)"
843,"('선전', 19)"
844,"('부담', 19)"
845,"('정경두', 19)"
846,"('전날', 19)"
847,"('국무부', 19)"
848,"('자기', 19)"
849,"('영향', 19)"
850,"('양보', 19)"
851,"('착수', 19)"
852,"('선박', 19)"
853,"('사망', 19)"
854,"('마음', 19)"
855,"('시사', 19)"
856,"('매우', 19)"
857,"('연대', 19)"
858,"('보좌', 19)"
859,"('심판', 19)"
860,"('국정조사', 19)"
861,"('불발', 19)"
862,"('선출', 19)"
863,"('처', 19)"
864,"('최선', 19)"
865,"('한번', 19)"
866,"('충북', 19)"
