,단어명,빈도수
1762,국익,19
1763,전락,19
1764,배경,19
1765,고용부,19
1766,기도,19
1767,표시,19
1768,역설,19
1769,파괴,19
1770,경제성장률,19
1771,망치,19
1772,스포츠,19
1773,겉,19
1774,하라,19
1775,탄핵,19
1776,기득권,19
1777,각오,19
1778,나가야,19
1779,최소한,19
1780,일인,19
1781,태,19
1782,방해,19
1783,전화,19
1784,중소,19
1785,투쟁,19
1786,자초,19
1787,설립,19
1788,주한,19
1789,총수,19
1790,국정감사,19
1791,모양,19
1792,터,19
1793,증시,19
1794,단속,19
1795,집계,19
1796,종교,19
1797,현역,19
1798,전기요금,19
1799,페이스북,19
1800,항,19
1801,원조,19
1802,충당,19
1803,악재,19
1804,불과,19
1805,서해,19
1806,은폐,19
1807,대결,19
1808,정비,19
1809,주주,19
1810,하자,19
1811,피의자,19
1812,응답,19
1813,분열,19
1814,주권,19
1815,일삼,19
1816,한시,19
1817,수호,19
1818,본회의,19
1819,사령관,19
1820,다스,19
